UserID,number_of_ratings
51412,4949
56792,4569
78820,4154
61436,3871
85632,3726
77443,3624
52283,2877
72351,2836
90280,2813
121114,2810
131976,2752
75723,2663
58765,2556
108318,2355
85372,2329
89033,2224
67217,2207
73040,2201
74411,2182
76082,2126
22901,2029
26048,2004
127227,2000
89474,1958
120182,1914
84752,1875
2296,1763
33639,1759
86431,1759
24402,1708
48369,1683
89735,1650
22499,1594
1508,1569
71099,1506
129753,1482
133199,1463
116174,1458
93285,1447
14310,1430
81552,1406
129237,1400
44717,1398
36278,1381
114979,1373
61262,1364
43147,1359
4667,1358
29713,1346
47092,1343
120519,1336
117252,1334
4094,1314
66503,1311
107826,1299
118330,1272
59596,1252
134,1228
123823,1219
31003,1217
27332,1214
64438,1213
78203,1203
82272,1192
42493,1185
130757,1181
72960,1176
75801,1174
122782,1153
56356,1151
6651,1122
77713,1122
120599,1122
28584,1118
46122,1108
96656,1087
35674,1086
66158,1086
25640,1079
109414,1061
132160,1054
35533,1053
80783,1047
10422,1045
41674,1041
45047,1035
6796,1013
121556,1009
130802,1006
122096,1000
8080,987
10720,978
60295,978
42603,962
64534,952
37710,948
11301,946
90204,946
61587,945
55650,919
81972,916
3826,915
32346,911
56533,902
72172,901
75254,893
94751,891
12455,889
100667,886
79732,885
15590,878
130309,878
56182,876
96095,872
45768,871
130721,870
25545,869
87914,868
119434,868
15523,867
78392,867
65459,864
42134,859
70144,855
43030,846
55291,846
73084,835
35951,834
76153,831
42944,820
68739,818
96969,818
35760,817
29677,813
38100,809
107238,806
69722,795
106684,794
64351,790
71873,790
103011,788
80098,784
12114,777
126439,776
107092,768
104712,767
4627,765
757,763
39954,761
101729,760
52248,755
115816,755
116784,755
66787,752
21352,749
720,740
46161,737
25047,735
116135,722
2983,718
25044,715
33394,715
62025,714
133268,701
39815,699
5628,696
99003,694
77954,693
10617,692
16656,690
70708,690
85983,688
128864,688
24949,687
82764,687
33591,684
15180,681
8867,680
78756,680
114810,680
31796,679
121989,679
63693,678
134138,677
43214,674
12124,672
80545,672
127458,671
84376,670
41675,669
94861,667
44318,665
112401,665
103232,662
58801,661
72205,659
12571,658
98378,657
103801,656
76189,653
43141,651
124752,651
2176,649
5184,649
83926,648
24463,644
103708,639
60063,638
12836,636
44621,636
6754,635
109747,633
64795,632
15648,631
63293,630
115152,629
99848,627
54775,624
74270,624
88665,622
70269,618
19526,617
47135,617
9,616
130464,616
104952,615
110862,615
117879,613
2965,610
131923,610
34631,608
3784,606
120556,606
27824,604
38108,602
39555,602
8171,601
87485,601
130029,600
119900,599
54499,596
74061,596
3039,594
65384,594
131792,593
14064,592
16014,592
128339,591
40855,589
57685,588
120139,588
63683,587
74514,585
101321,585
12634,583
41244,580
32000,577
19836,576
55250,576
75524,576
116061,576
68854,574
46344,571
87949,570
67987,569
14721,568
46066,568
63060,567
28258,566
35859,563
60997,559
70056,557
76503,556
48674,553
100737,549
123600,549
30850,545
68035,545
131439,544
43781,543
57827,542
33060,541
76099,541
82369,538
46904,536
113395,536
111697,534
48553,531
33792,530
37911,529
69075,527
38889,526
94535,526
110916,524
24828,522
20672,521
87451,521
50016,520
88143,520
130695,520
101550,519
66344,516
109346,516
82313,514
134723,512
28173,511
19578,510
74658,510
78509,510
19826,509
46716,509
71636,509
9041,504
74013,504
125589,504
54675,503
17905,502
61416,502
92231,500
5395,499
1745,498
18534,498
82383,497
59504,496
119468,495
132526,494
83955,492
89789,492
54267,491
14105,490
38214,490
54023,489
70798,488
7692,487
63440,487
110108,487
104997,485
95357,484
121426,484
28055,483
110929,481
13410,480
77363,479
93540,479
101562,479
106105,479
76179,478
30416,477
112590,477
91578,475
130635,474
11265,473
76158,473
63062,472
95059,472
110437,471
22321,470
86957,470
61064,469
62099,468
126481,468
13145,466
86010,466
128748,466
17078,465
10043,464
74492,464
42180,463
50879,463
63111,462
23541,459
39037,459
89556,459
108497,459
120520,459
104057,458
108031,457
100525,456
32288,452
15056,451
69255,450
115113,450
121873,450
27981,446
83403,446
4906,445
96112,445
109762,445
12623,444
47516,443
49478,443
56052,443
59565,443
102733,443
675,442
63343,442
80928,442
45772,441
60889,441
105210,441
124377,441
2575,440
84120,440
49664,439
51372,439
77473,438
19599,437
128253,436
135240,436
15360,431
102785,429
7111,428
32684,428
55297,428
63430,428
78086,428
92503,428
40028,426
109738,425
62357,424
67656,424
19644,423
104092,423
24776,422
25777,422
55213,421
6751,420
103887,420
90524,419
58635,418
12165,417
116427,417
119144,417
100153,416
116192,416
108446,415
132663,415
8147,414
74886,412
83860,412
39407,411
82600,411
113293,411
115739,411
134724,411
1636,410
60359,410
131881,410
135281,410
7162,409
73420,409
130943,409
8897,408
99667,408
64286,407
90918,407
129609,406
31302,404
48115,404
59598,404
29038,403
67923,403
78305,403
127240,401
77262,400
89701,400
89933,400
95771,400
109311,400
93877,399
19108,398
39717,398
62153,398
128999,398
129568,398
19318,397
26990,397
35314,397
63502,397
83943,397
15997,396
62875,396
37654,395
101529,394
21253,393
37735,393
100596,393
87085,392
44563,391
48602,391
79307,391
84482,391
115867,390
87243,389
52683,388
98038,388
94648,387
105214,387
108416,386
118264,386
55931,385
102159,384
127406,384
69804,383
35393,380
36685,380
119810,380
155,379
29152,379
64718,379
91111,379
33662,378
85639,378
113635,378
48732,377
38620,376
129494,376
102893,375
5692,372
68969,372
81717,372
104976,372
120879,372
9930,370
57947,370
60205,370
8294,369
52855,369
70764,368
87553,368
32077,367
59997,367
82446,367
7490,366
36408,366
85488,366
13130,365
90526,365
6605,364
45697,364
66580,364
57515,363
28869,362
124652,361
74462,360
102342,360
17768,359
29274,359
37553,359
50148,359
1017,358
72737,357
132055,356
31229,355
39336,355
68074,355
109539,355
88981,354
90820,354
49464,353
20818,352
106114,351
52724,350
67029,350
52013,349
79460,349
54233,347
67393,347
104664,347
27997,346
32881,346
42565,346
94906,346
101298,346
130580,346
10304,345
127471,345
37717,344
134621,343
33874,342
63592,342
115636,342
113268,341
130201,341
61382,340
68846,340
124781,340
65105,339
36367,338
59354,338
71808,338
101994,338
133145,338
59609,337
105565,337
107946,337
113264,337
119487,337
60096,336
43163,334
102561,334
47672,333
105624,333
8919,332
31007,332
113570,332
53844,331
75533,330
107872,330
33999,329
15253,328
79331,328
98248,328
49622,327
56289,327
32955,326
127270,326
45941,325
96028,325
43280,324
71898,324
124297,324
54595,323
67835,323
114618,323
3468,322
21667,322
60757,322
84151,322
96743,322
127215,322
51755,321
94837,321
520,320
58422,320
80448,320
102701,320
122539,320
20949,318
51860,318
95551,318
96330,318
125557,318
133691,318
131432,317
132780,317
34768,316
88625,316
95028,316
111052,316
30751,315
32108,315
51632,315
53729,315
84801,315
109792,315
6146,314
16288,314
26550,314
33827,314
47287,314
63609,314
70656,314
87336,314
91860,314
116685,314
121660,314
25095,313
95236,313
102415,313
131188,313
25535,311
47315,311
54773,311
56463,311
107398,311
119165,311
134614,311
122526,310
126260,310
38421,309
46070,309
58822,309
63059,309
114331,309
51827,308
73968,308
86691,308
96516,308
32172,307
51173,307
61261,307
63849,307
106373,307
7152,306
41418,306
55309,306
64588,306
117544,306
123985,306
6756,305
29786,305
31013,305
64169,305
72258,305
5912,304
88664,304
108539,304
123026,304
132535,304
51914,303
63405,303
131642,303
133756,303
43729,302
58567,302
132129,302
20137,301
26025,301
52707,301
98503,301
73,300
6558,300
73692,300
108593,300
20336,299
75852,299
14048,298
32081,298
37462,298
72340,298
94074,298
101068,298
133309,298
10036,297
11715,297
36286,297
39139,297
105962,297
123318,297
10211,296
54028,296
60927,296
78045,296
121768,296
124593,296
27546,294
36560,294
52477,294
100824,294
112796,294
116444,294
26401,293
85407,292
21280,291
45275,291
49833,291
53833,291
64848,291
69790,291
74569,291
112467,291
51010,290
108170,290
134760,290
15292,289
31609,289
100935,289
1443,288
2559,288
29098,288
95082,288
110887,288
125146,288
23325,287
34520,287
42701,287
111932,287
38205,286
46302,286
86011,286
134725,286
110223,285
111397,285
39501,284
65909,284
78490,284
90268,284
101346,284
7484,283
58453,283
59544,283
74746,283
122924,283
4568,282
56601,282
75189,282
78979,282
95208,282
99496,282
130750,282
4100,281
47379,281
53249,281
71602,281
87652,281
5128,280
26460,280
36156,280
55295,280
90224,280
105694,280
3737,279
86385,279
89014,279
3499,278
12462,278
40983,278
108521,278
119980,278
35707,277
71141,277
72433,277
131658,277
17087,276
93695,276
124341,276
3847,275
6757,275
63473,275
64082,275
81906,275
132567,275
16682,274
22149,274
88393,274
118301,274
129612,274
11242,272
41689,272
89102,272
101507,272
102754,272
120324,272
7604,271
13277,271
28427,271
86990,271
87129,271
894,270
5443,270
20171,270
32395,270
34067,270
64111,270
72446,270
89534,270
97282,270
112273,270
5624,269
11858,269
17208,269
124585,269
35798,268
60424,268
5097,267
47635,267
48505,267
75459,267
75686,267
2921,266
14573,266
26677,266
39307,266
56798,266
85654,266
87462,266
19450,265
33070,265
53460,265
82247,265
86891,265
33951,264
127610,264
128211,264
11187,263
76990,263
30018,262
31479,262
33001,262
72480,262
100633,262
115280,262
13816,261
72435,261
78734,261
90782,261
110161,261
19421,260
26018,260
47622,260
59996,260
121323,260
61033,259
76319,259
91522,259
120553,259
121900,259
58634,258
83459,258
83663,258
87886,258
89209,258
90461,258
91355,258
91462,258
133038,258
133282,258
21839,257
37529,257
49199,257
56114,257
76523,257
79868,257
97570,257
111990,257
4531,256
7929,256
17027,256
53084,256
97350,256
110866,256
129969,256
67820,255
99533,255
118246,255
130953,255
22753,254
48237,254
53920,254
59889,254
98175,254
111902,254
133634,254
55821,253
66316,253
116263,253
122486,253
21458,252
48568,252
50211,252
83363,252
87781,252
91229,252
91491,252
106924,252
17435,251
34248,251
65906,251
119424,251
128413,251
8313,250
17566,250
31222,250
40863,250
41439,250
53886,250
290,249
5715,249
5909,249
6592,249
50032,249
50841,249
63139,249
92097,249
2228,248
77659,248
115284,248
54656,247
68356,247
115431,247
116141,247
117836,247
120362,247
3953,246
49360,246
59199,246
82688,246
89651,246
125257,246
130100,246
53879,245
73257,245
95070,245
101718,245
31,244
62814,244
84895,244
93705,244
126231,244
